z[m],potential[V]
-2.000000000000000174e-07,0.000000000000000000e+00
-1.995900000000000290e-07,2.526365589927156411e-06
-1.991800000000000140e-07,5.052731179854312822e-06
-1.987700000000000256e-07,7.579096769781462033e-06
-1.983600000000000371e-07,1.010546235970861717e-05
-1.979499999999999958e-07,1.263182794963595104e-05
-1.975400000000000073e-07,1.515819353956310703e-05
-1.971300000000000189e-07,1.768455912949026132e-05
-1.967200000000000039e-07,2.021092471941741053e-05
-1.963100000000000155e-07,2.273729030934457329e-05
-1.959000000000000270e-07,2.526365589927172250e-05
-1.954900000000000121e-07,2.779002148919887849e-05
-1.950800000000000237e-07,3.031638707912603448e-05
-1.946700000000000087e-07,3.284275266905336665e-05
-1.942599999999999938e-07,3.536911825898052264e-05
-1.938500000000000054e-07,3.789548384890767185e-05
-1.934400000000000169e-07,4.042184943883482784e-05
-1.930300000000000020e-07,4.294821502876198382e-05
-1.926200000000000135e-07,4.547458061868913981e-05
-1.922100000000000251e-07,4.800094620861629580e-05
-1.918000000000000102e-07,5.052731179854345856e-05
-1.913899999999999952e-07,5.305367738847078396e-05
-1.909800000000000068e-07,5.558004297839793994e-05
-1.905699999999999919e-07,5.810640856832508915e-05
-1.901600000000000034e-07,6.063277415825224514e-05
-1.897500000000000150e-07,6.326632049514196836e-05
-1.893400000000000265e-07,6.591500908019026208e-05
-1.889300000000000116e-07,6.856369766523855581e-05
-1.885200000000000231e-07,7.121238625028684954e-05
-1.881100000000000347e-07,7.386107483533512971e-05
-1.876999999999999933e-07,7.650976342038362673e-05
-1.872900000000000049e-07,7.915845200543192046e-05
-1.868800000000000164e-07,8.180714059048021418e-05
-1.864700000000000015e-07,8.445582917552850791e-05
-1.860600000000000130e-07,8.710451776057680164e-05
-1.856500000000000246e-07,8.975320634562509536e-05
-1.852400000000000097e-07,9.240189493067338909e-05
-1.848300000000000212e-07,9.505058351572166927e-05
-1.844200000000000328e-07,9.769927210076997655e-05
-1.840099999999999914e-07,1.003479606858184465e-04
-1.836000000000000029e-07,1.029966492708667537e-04
-1.831900000000000145e-07,1.056453378559150610e-04
-1.827799999999999995e-07,1.082940264409633276e-04
-1.823700000000000111e-07,1.109427150260116349e-04
-1.819600000000000226e-07,1.135914036110599286e-04
-1.815500000000000342e-07,1.162400921961082088e-04
-1.811399999999999928e-07,1.188887807811566923e-04
-1.807300000000000043e-07,1.215374693662049860e-04
-1.803200000000000159e-07,1.241861579512532933e-04
-1.799100000000000010e-07,1.270287214426193804e-04
-1.795000000000000125e-07,1.299350778463283099e-04
-1.790900000000000241e-07,1.328414342500372394e-04
-1.786800000000000092e-07,1.357477906537461960e-04
-1.782700000000000207e-07,1.386541470574551255e-04
-1.778600000000000322e-07,1.415605034611640549e-04
-1.774499999999999909e-07,1.444668598648732013e-04
-1.770400000000000024e-07,1.473732162685821307e-04
-1.766300000000000140e-07,1.502795726722910602e-04
-1.762199999999999990e-07,1.531859290759999897e-04
-1.758100000000000106e-07,1.560922854797089463e-04
-1.754000000000000221e-07,1.589986418834178758e-04
-1.749900000000000072e-07,1.619049982871268052e-04
-1.745800000000000188e-07,1.648113546908357347e-04
-1.741700000000000303e-07,1.677177110945446913e-04
-1.737599999999999889e-07,1.706240674982538105e-04
-1.733500000000000005e-07,1.735304239019627671e-04
-1.729400000000000120e-07,1.764367803056716966e-04
-1.725300000000000236e-07,1.793431367093806261e-04
-1.721200000000000086e-07,1.822494931130895556e-04
-1.717100000000000202e-07,1.851558495167985121e-04
-1.713000000000000317e-07,1.880622059205074416e-04
-1.708899999999999904e-07,1.909685623242165879e-04
-1.704800000000000019e-07,1.938749187279255174e-04
-1.700700000000000134e-07,1.970243835229821064e-04
-1.696599999999999985e-07,2.003174654993832211e-04
-1.692500000000000101e-07,2.036105474757843358e-04
-1.688400000000000216e-07,2.069036294521853963e-04
-1.684300000000000067e-07,2.101967114285864839e-04
-1.680200000000000183e-07,2.134897934049875985e-04
-1.676100000000000298e-07,2.167828753813887132e-04
-1.671999999999999884e-07,2.200759573577899906e-04
-1.667900000000000000e-07,2.233690393341911053e-04
-1.663800000000000115e-07,2.266621213105921928e-04
-1.659699999999999966e-07,2.299552032869932533e-04
-1.655600000000000081e-07,2.332482852633943680e-04
-1.651500000000000197e-07,2.365413672397954827e-04
-1.647400000000000312e-07,2.398344492161965703e-04
