r[nm],potential[V]
0.000000000000000000e+00,-9.167837244974924582e-02
1.000000000000000269e-09,-9.167837244946960840e-02
2.000000000000000538e-09,-9.167837244918995709e-02
3.000000000000000807e-09,-9.167837244891029191e-02
4.000000000000001076e-09,-9.167837244863065449e-02
5.000000000000001759e-09,-9.167837244835101707e-02
6.000000000000001614e-09,-9.167837244807136576e-02
7.000000000000001470e-09,-9.167837244779171446e-02
8.000000000000002153e-09,-9.167837244751206316e-02
9.000000000000002835e-09,-9.167837244723242573e-02
1.000000000000000352e-08,-9.167837244695277443e-02
1.100000000000000255e-08,-9.167837244667312313e-02
1.200000000000000323e-08,-9.167837244639348571e-02
1.300000000000000391e-08,-9.167837244611382053e-02
1.400000000000000294e-08,-9.167837244583419698e-02
1.500000000000000528e-08,-9.167837244555453180e-02
1.600000000000000431e-08,-9.167837244527488050e-02
1.700000000000000333e-08,-9.167837244499524307e-02
1.800000000000000567e-08,-9.167837244471560565e-02
1.900000000000000470e-08,-9.167837244443594047e-02
2.000000000000000704e-08,-9.167837244415630304e-02
2.100000000000000606e-08,-9.167837244387666562e-02
2.200000000000000509e-08,-9.167837244359701432e-02
2.300000000000000743e-08,-9.167837244331736302e-02
2.400000000000000646e-08,-9.167837244303771171e-02
2.500000000000000549e-08,-9.167837244275807429e-02
2.600000000000000782e-08,-9.167837244247840911e-02
2.700000000000000685e-08,-9.167837244219877169e-02
2.800000000000000588e-08,-9.167837244191912038e-02
2.900000000000000822e-08,-9.167837244163946908e-02
3.000000000000001055e-08,-9.167837244135983166e-02
3.100000000000000627e-08,-9.167837244108018036e-02
3.200000000000000861e-08,-9.167837244080052905e-02
3.300000000000001095e-08,-9.167837244052089163e-02
3.400000000000000667e-08,-9.167837244024125420e-02
3.500000000000000900e-08,-9.167837243996157515e-02
3.600000000000001134e-08,-9.167837243968195160e-02
3.700000000000000706e-08,-9.167837243940230030e-02
3.800000000000000940e-08,-9.167837243912266287e-02
3.900000000000001173e-08,-9.167837243884299769e-02
4.000000000000001407e-08,-9.167837243856336027e-02
4.100000000000000979e-08,-9.167837243828370897e-02
4.200000000000001213e-08,-9.167837243800405767e-02
4.300000000000001447e-08,-9.167837243772442024e-02
4.400000000000001019e-08,-9.167837243744476894e-02
4.500000000000001252e-08,-9.167837243716511764e-02
4.600000000000001486e-08,-9.167837243688548021e-02
4.700000000000001058e-08,-9.167837243660582891e-02
4.800000000000001292e-08,-9.167837243632616373e-02
4.900000000000001525e-08,-9.167837243604654018e-02
5.000000000000001097e-08,-9.167837243576688888e-02
5.100000000000001331e-08,-9.167837243548725146e-02
5.200000000000001565e-08,-9.167837243520758628e-02
5.300000000000001137e-08,-9.167837243492794885e-02
5.400000000000001370e-08,-9.167837243464831143e-02
5.500000000000001604e-08,-9.167837243436864625e-02
5.600000000000001176e-08,-9.167837243408900882e-02
5.700000000000001410e-08,-9.167837243380935752e-02
5.800000000000001643e-08,-9.167837243352970622e-02
5.900000000000001877e-08,-9.167837243325006880e-02
6.000000000000002111e-08,-9.167837243297041749e-02
6.100000000000001683e-08,-9.167837243269076619e-02
6.200000000000001255e-08,-9.167837243241112877e-02
6.300000000000002150e-08,-9.167837243213147747e-02
6.400000000000001722e-08,-9.167837243185181229e-02
6.500000000000001294e-08,-9.167837243157218874e-02
6.600000000000002189e-08,-9.167837243129253744e-02
6.700000000000001761e-08,-9.167837243101290001e-02
6.800000000000001333e-08,-9.167837243073323483e-02
6.900000000000002229e-08,-9.167837243045359741e-02
7.000000000000001801e-08,-9.167837243017394611e-02
7.100000000000001373e-08,-9.167837242989429480e-02
7.200000000000002268e-08,-9.167837242961464350e-02
7.300000000000001840e-08,-9.167837242933500608e-02
7.400000000000001412e-08,-9.167837242905535478e-02
7.500000000000002308e-08,-9.167837242877571735e-02
7.600000000000001880e-08,-9.167837242849606605e-02
7.700000000000001452e-08,-9.167837242821640087e-02
7.800000000000002347e-08,-9.167837242793677732e-02
7.900000000000001919e-08,-9.167837242765712602e-02
8.000000000000002814e-08,-9.167837242737746084e-02
8.100000000000002386e-08,-9.167837242709782342e-02
8.200000000000001958e-08,-9.167837242681818599e-02
8.300000000000002854e-08,-9.167837242653853469e-02
8.400000000000002426e-08,-9.167837242625888339e-02
8.500000000000001998e-08,-9.167837242597923209e-02
8.600000000000002893e-08,-9.167837242569959466e-02
8.700000000000002465e-08,-9.167837242541994336e-02
8.800000000000002037e-08,-9.167837242514030593e-02
8.900000000000002932e-08,-9.167837242486065463e-02
9.000000000000002504e-08,-9.167837242458098945e-02
9.100000000000002076e-08,-9.167837242430136591e-02
9.200000000000002972e-08,-9.167837242402171460e-02
9.300000000000002544e-08,-9.167837242374204942e-02
9.400000000000002116e-08,-9.167837242346241200e-02
9.500000000000003011e-08,-9.167837242318277458e-02
9.600000000000002583e-08,-9.167837242290312327e-02
9.700000000000002155e-08,-9.167837242262348585e-02
9.800000000000003051e-08,-9.167837242234383455e-02
9.900000000000002623e-08,-9.167837242206418324e-02
1.000000000000000219e-07,-9.167837242178454582e-02
1.010000000000000309e-07,-9.167837242150489452e-02
1.020000000000000266e-07,-9.167837242122524322e-02
1.030000000000000223e-07,-9.167837242094557804e-02
1.040000000000000313e-07,-9.167837242066595449e-02
1.050000000000000270e-07,-9.167837242038630319e-02
1.060000000000000227e-07,-9.167837242010665189e-02
1.070000000000000317e-07,-9.167837241982700058e-02
