z[nm],potential[V]
-1.960000000000000081e-07,-2.422066761605833896e-01
-1.952179999999999948e-07,-2.422066761881684904e-01
-1.944360000000000081e-07,-2.422066762157536468e-01
-1.936539999999999949e-07,-2.422066762433388032e-01
-1.928720000000000081e-07,-2.422066762709239318e-01
-1.920899999999999949e-07,-2.422066762985090327e-01
-1.913080000000000081e-07,-2.422066763260941891e-01
-1.905259999999999949e-07,-2.422066763536793454e-01
-1.897440000000000082e-07,-2.422066763812644186e-01
-1.889619999999999949e-07,-2.422066764088495749e-01
-1.881800000000000082e-07,-2.422066764364346758e-01
-1.873979999999999950e-07,-2.422066764640198044e-01
-1.866160000000000082e-07,-2.422066764916049608e-01
-1.858339999999999950e-07,-2.422066765191901172e-01
-1.850520000000000082e-07,-2.422066765467752181e-01
-1.842699999999999950e-07,-2.422066765743603467e-01
-1.834880000000000083e-07,-2.422066766019455031e-01
-1.827059999999999950e-07,-2.422066766295306595e-01
-1.819240000000000083e-07,-2.422066766571157326e-01
-1.811419999999999951e-07,-2.422066766847008890e-01
-1.803600000000000083e-07,-2.422066767122859898e-01
-1.795779999999999951e-07,-2.422066767398711462e-01
-1.787960000000000083e-07,-2.422066767674562748e-01
-1.780139999999999951e-07,-2.422066767950414312e-01
-1.772320000000000084e-07,-2.422066768226265321e-01
-1.764499999999999951e-07,-2.422066768502116607e-01
-1.756680000000000084e-07,-2.422066768777968171e-01
-1.748859999999999952e-07,-2.422066769053819735e-01
-1.741040000000000084e-07,-2.422066769329670466e-01
-1.733219999999999952e-07,-2.422066769605522030e-01
-1.725400000000000084e-07,-2.422066769881373594e-01
-1.717579999999999952e-07,-2.422066770157224602e-01
-1.709760000000000085e-07,-2.422066770433075888e-01
-1.701939999999999952e-07,-2.422066770708927452e-01
-1.694120000000000085e-07,-2.422066770984778461e-01
-1.686299999999999953e-07,-2.422066771260629470e-01
-1.678480000000000085e-07,-2.422066771536481034e-01
-1.670659999999999953e-07,-2.422066771812332875e-01
-1.662840000000000085e-07,-2.422066772088183328e-01
-1.655019999999999953e-07,-2.422066772364034892e-01
-1.647200000000000086e-07,-2.422066772639886456e-01
-1.639379999999999953e-07,-2.422066772915737742e-01
-1.631560000000000086e-07,-2.422066773191588751e-01
-1.623739999999999954e-07,-2.422066773467440315e-01
-1.615920000000000086e-07,-2.422066773743291879e-01
-1.608099999999999954e-07,-2.422066774019142610e-01
-1.600280000000000086e-07,-2.422066774294994174e-01
-1.592459999999999954e-07,-2.422066774570845737e-01
-1.584640000000000087e-07,-2.422066774846696469e-01
-1.576819999999999954e-07,-2.422066775122548032e-01
-1.569000000000000087e-07,-2.422066775398399596e-01
-1.561179999999999955e-07,-2.422066775674250882e-01
-1.553360000000000087e-07,-2.422066775950102446e-01
-1.545539999999999955e-07,-2.422066776225953455e-01
-1.537720000000000087e-07,-2.422066776501805019e-01
-1.529899999999999955e-07,-2.422066776777655750e-01
-1.522080000000000087e-07,-2.422066777053507314e-01
-1.514259999999999955e-07,-2.422066777329358322e-01
-1.506440000000000088e-07,-2.422066777605209609e-01
-1.498619999999999955e-07,-2.422066777881061173e-01
-1.490800000000000088e-07,-2.422066778156912736e-01
-1.482979999999999956e-07,-2.422066778432763745e-01
-1.475160000000000088e-07,-2.422066778708615309e-01
-1.467339999999999956e-07,-2.422066778984466595e-01
-1.459520000000000088e-07,-2.422066779260318159e-01
-1.451699999999999956e-07,-2.422066779536168890e-01
-1.443880000000000089e-07,-2.422066779812020454e-01
-1.436059999999999956e-07,-2.422066780087871463e-01
-1.428240000000000089e-07,-2.422066780363723026e-01
-1.420419999999999957e-07,-2.422066780639574313e-01
-1.412600000000000089e-07,-2.422066780915425876e-01
-1.404779999999999957e-07,-2.422066781191276885e-01
-1.396960000000000089e-07,-2.422066781467128449e-01
-1.389139999999999957e-07,-2.422066781742979735e-01
-1.381320000000000090e-07,-2.422066782018830744e-01
-1.373499999999999957e-07,-2.422066782294682030e-01
-1.365680000000000090e-07,-2.422066782570533594e-01
-1.357859999999999958e-07,-2.422066782846385158e-01
-1.350039999999999825e-07,-2.422066783122236167e-01
-1.342219999999999958e-07,-2.422066783398087730e-01
-1.334400000000000090e-07,-2.422066783673939017e-01
-1.326579999999999958e-07,-2.422066783949790025e-01
-1.318759999999999826e-07,-2.422066784225641589e-01
-1.310939999999999958e-07,-2.422066784501492598e-01
-1.303120000000000091e-07,-2.422066784777343884e-01
-1.295299999999999959e-07,-2.422066785053195448e-01
-1.287479999999999826e-07,-2.422066785329046457e-01
-1.279659999999999959e-07,-2.422066785604898020e-01
-1.271840000000000091e-07,-2.422066785880749307e-01
-1.264019999999999959e-07,-2.422066786156600871e-01
-1.256199999999999827e-07,-2.422066786432451602e-01
-1.248379999999999959e-07,-2.422066786708303165e-01
-1.240560000000000092e-07,-2.422066786984154729e-01
-1.232739999999999960e-07,-2.422066787260005738e-01
-1.224919999999999827e-07,-2.422066787535857024e-01
-1.217099999999999960e-07,-2.422066787811708588e-01
-1.209280000000000092e-07,-2.422066788087560152e-01
-1.201459999999999960e-07,-2.422066788363411161e-01
-1.193639999999999828e-07,-2.422066788639262447e-01
-1.185819999999999960e-07,-2.422066788915114011e-01
-1.177999999999999960e-07,-2.422066789190964464e-01
-1.170179999999999961e-07,-2.422066789466816306e-01
-1.162359999999999961e-07,-2.422066789742667869e-01
-1.154539999999999961e-07,-2.422066790018518878e-01
-1.146719999999999961e-07,-2.422066790294369887e-01
-1.138899999999999961e-07,-2.422066790570221728e-01
-1.131079999999999961e-07,-2.422066790846073292e-01
-1.123259999999999961e-07,-2.422066791121924301e-01
-1.115439999999999961e-07,-2.422066791397775309e-01
-1.107619999999999962e-07,-2.422066791673626873e-01
-1.099799999999999962e-07,-2.422066791949478159e-01
-1.091979999999999962e-07,-2.422066792225329168e-01
-1.084159999999999962e-07,-2.422066792501180732e-01
-1.076339999999999962e-07,-2.422066792777032018e-01
-1.068519999999999962e-07,-2.422066793052883027e-01
-1.060699999999999962e-07,-2.422066793328734591e-01
-1.052879999999999962e-07,-2.422066793604586155e-01
-1.045059999999999963e-07,-2.422066793880437441e-01
-1.037239999999999963e-07,-2.422066794156288450e-01
-1.029419999999999963e-07,-2.422066794432140013e-01
-1.021599999999999963e-07,-2.422066794707991300e-01
-1.013779999999999963e-07,-2.422066794983842308e-01
-1.005959999999999963e-07,-2.422066795259693872e-01
-9.981399999999999632e-08,-2.422066795535545158e-01
-9.903199999999999634e-08,-2.422066795811396167e-01
-9.824999999999999635e-08,-2.422066796087247731e-01
-9.746799999999999636e-08,-2.422066796363099295e-01
-9.668599999999999637e-08,-2.422066796638950581e-01
-9.590399999999999638e-08,-2.422066796914801590e-01
-9.512199999999999640e-08,-2.422066797190653153e-01
-9.433999999999999641e-08,-2.422066797466504162e-01
-9.355799999999999642e-08,-2.422066797742355448e-01
-9.277599999999999643e-08,-2.422066798018207012e-01
-9.199399999999999644e-08,-2.422066798294058021e-01
-9.121199999999999646e-08,-2.422066798569909585e-01
-9.042999999999999647e-08,-2.422066798845760871e-01
-8.964799999999999648e-08,-2.422066799121612435e-01
-8.886599999999999649e-08,-2.422066799397463444e-01
-8.808399999999999651e-08,-2.422066799673314730e-01
-8.730199999999999652e-08,-2.422066799949166294e-01
-8.651999999999999653e-08,-2.422066800225017302e-01
-8.573799999999999654e-08,-2.422066800500868589e-01
-8.495599999999999655e-08,-2.422066800776720152e-01
-8.417399999999999657e-08,-2.422066801052571716e-01
-8.339199999999999658e-08,-2.422066801328422725e-01
-8.260999999999999659e-08,-2.422066801604274011e-01
-8.182799999999999660e-08,-2.422066801880125575e-01
-8.104599999999999661e-08,-2.422066802155976584e-01
-8.026399999999999663e-08,-2.422066802431827870e-01
-7.948199999999999664e-08,-2.422066802707679434e-01
-7.869999999999999665e-08,-2.422066802983530442e-01
-7.791799999999999666e-08,-2.422066803259381451e-01
-7.713599999999999667e-08,-2.422066803535233293e-01
-7.635399999999999669e-08,-2.422066803811084856e-01
-7.557199999999998346e-08,-2.422066804086935865e-01
-7.478999999999999671e-08,-2.422066804362786874e-01
-7.400799999999998349e-08,-2.422066804638638160e-01
-7.322599999999999674e-08,-2.422066804914489724e-01
-7.244399999999998351e-08,-2.422066805190340733e-01
-7.166199999999999676e-08,-2.422066805466192296e-01
-7.087999999999998354e-08,-2.422066805742043583e-01
-7.009799999999999678e-08,-2.422066806017895146e-01
-6.931599999999998356e-08,-2.422066806293746155e-01
-6.853399999999999681e-08,-2.422066806569597719e-01
-6.775199999999998358e-08,-2.422066806845449005e-01
-6.696999999999999683e-08,-2.422066807121300014e-01
-6.618799999999998361e-08,-2.422066807397151578e-01
-6.540599999999999686e-08,-2.422066807673002864e-01
-6.462399999999998363e-08,-2.422066807948853873e-01
-6.384199999999999688e-08,-2.422066808224705436e-01
-6.305999999999998366e-08,-2.422066808500556723e-01
-6.227799999999999690e-08,-2.422066808776408287e-01
-6.149599999999998368e-08,-2.422066809052259850e-01
-6.071399999999999693e-08,-2.422066809328110859e-01
-5.993199999999998371e-08,-2.422066809603962145e-01
-5.914999999999999695e-08,-2.422066809879813154e-01
-5.836799999999998373e-08,-2.422066810155664718e-01
-5.758599999999999698e-08,-2.422066810431515727e-01
-5.680399999999998375e-08,-2.422066810707367568e-01
-5.602199999999999700e-08,-2.422066810983218577e-01
-5.523999999999998378e-08,-2.422066811259069585e-01
-5.445799999999999703e-08,-2.422066811534921149e-01
-5.367599999999998380e-08,-2.422066811810772990e-01
-5.289399999999999705e-08,-2.422066812086623444e-01
-5.211199999999998383e-08,-2.422066812362475008e-01
-5.132999999999999707e-08,-2.422066812638326294e-01
-5.054799999999998385e-08,-2.422066812914177858e-01
-4.976599999999999710e-08,-2.422066813190028867e-01
-4.898399999999998388e-08,-2.422066813465880430e-01
-4.820199999999999712e-08,-2.422066813741731717e-01
-4.741999999999998390e-08,-2.422066814017583281e-01
-4.663799999999999715e-08,-2.422066814293434289e-01
-4.585599999999998392e-08,-2.422066814569285853e-01
-4.507399999999999717e-08,-2.422066814845136584e-01
-4.429199999999998395e-08,-2.422066815120988148e-01
-4.350999999999999719e-08,-2.422066815396839434e-01
-4.272799999999998397e-08,-2.422066815672690998e-01
-4.194599999999999722e-08,-2.422066815948542007e-01
-4.116399999999998400e-08,-2.422066816224393571e-01
-4.038199999999999724e-08,-2.422066816500245134e-01
-3.959999999999998402e-08,-2.422066816776095866e-01
-3.881799999999999727e-08,-2.422066817051947429e-01
-3.803599999999998404e-08,-2.422066817327798993e-01
-3.725399999999999729e-08,-2.422066817603649724e-01
-3.647199999999998407e-08,-2.422066817879501288e-01
-3.568999999999999732e-08,-2.422066818155352852e-01
-3.490799999999998409e-08,-2.422066818431203861e-01
-3.412599999999999734e-08,-2.422066818707055147e-01
-3.334399999999998412e-08,-2.422066818982906711e-01
-3.256199999999999736e-08,-2.422066819258758275e-01
-3.177999999999998414e-08,-2.422066819534609006e-01
-3.099799999999999739e-08,-2.422066819810460570e-01
-3.021599999999998417e-08,-2.422066820086312133e-01
-2.943399999999999741e-08,-2.422066820362162864e-01
-2.865199999999998419e-08,-2.422066820638014428e-01
-2.786999999999999744e-08,-2.422066820913865992e-01
-2.708799999999998421e-08,-2.422066821189717001e-01
-2.630599999999999746e-08,-2.422066821465568287e-01
-2.552399999999998424e-08,-2.422066821741419851e-01
-2.474199999999999748e-08,-2.422066822017271415e-01
-2.395999999999998426e-08,-2.422066822293121868e-01
-2.317799999999999751e-08,-2.422066822568973710e-01
-2.239599999999998429e-08,-2.422066822844825273e-01
-2.161399999999999753e-08,-2.422066823120676282e-01
-2.083199999999998431e-08,-2.422066823396527291e-01
-2.004999999999999756e-08,-2.422066823672379132e-01
