r[m],potential[V]
0.000000000000000000e+00,-2.881871113671196638e-01
1.000000000000000269e-09,-2.872783990017300781e-01
2.000000000000000538e-09,-2.863696866363404925e-01
3.000000000000001221e-09,-2.850219413623876763e-01
4.000000000000001076e-09,-2.835055796643310977e-01
5.000000000000000932e-09,-2.814355239237738560e-01
6.000000000000002442e-09,-2.790789488316622879e-01
7.000000000000002297e-09,-2.764200159668468437e-01
8.000000000000002153e-09,-2.733805623378983141e-01
9.000000000000002835e-09,-2.701219285968365913e-01
1.000000000000000186e-08,-2.663931953611416992e-01
1.100000000000000255e-08,-2.626644621254468071e-01
1.200000000000000488e-08,-2.583552501987528283e-01
1.300000000000000391e-08,-2.540385631641490227e-01
1.400000000000000459e-08,-2.493617760923790005e-01
1.500000000000000528e-08,-2.446384440023231521e-01
1.600000000000000431e-08,-2.396986652997690204e-01
1.700000000000000333e-08,-2.346404208657704993e-01
1.800000000000000567e-08,-2.294829471508707530e-01
1.900000000000000470e-08,-2.242609034616054597e-01
2.000000000000000373e-08,-2.190056460026976737e-01
2.100000000000000606e-08,-2.136824359513638250e-01
2.200000000000000509e-08,-2.083342972325649689e-01
2.300000000000000412e-08,-2.029346323110182426e-01
2.400000000000000977e-08,-1.975462456787949461e-01
2.500000000000000879e-08,-1.921862022104472434e-01
2.600000000000000782e-08,-1.868302837932805938e-01
2.700000000000001016e-08,-1.815593026569283230e-01
2.800000000000000919e-08,-1.762883215205759968e-01
2.900000000000000822e-08,-1.711312190360770036e-01
3.000000000000001055e-08,-1.659809176724926782e-01
3.100000000000000627e-08,-1.609127804896914316e-01
3.200000000000000861e-08,-1.558696625258055857e-01
3.300000000000001095e-08,-1.509333592150711723e-01
3.400000000000000667e-08,-1.460770422960473991e-01
3.500000000000000900e-08,-1.413051429282067839e-01
3.600000000000001134e-08,-1.366394126703476264e-01
3.700000000000000706e-08,-1.320096666045907086e-01
3.800000000000000940e-08,-1.275148608568511255e-01
3.900000000000001173e-08,-1.230548179882285376e-01
4.000000000000000745e-08,-1.187730273617101651e-01
4.100000000000000979e-08,-1.144912367351917509e-01
4.200000000000001213e-08,-1.103948703052492902e-01
4.300000000000000785e-08,-1.063263288451026384e-01
4.400000000000001019e-08,-1.023717842176889298e-01
4.500000000000001252e-08,-9.849067125692226310e-02
4.600000000000000824e-08,-9.471951135258843690e-02
4.700000000000001058e-08,-9.104644141754712761e-02
4.800000000000001953e-08,-8.743542587230644647e-02
4.900000000000001525e-08,-8.395127302185254048e-02
5.000000000000001759e-08,-8.050139898974081887e-02
