r[nm],potential[V]
0.000000000000000000e+00,3.789668330691949721e-02
1.000000000000000269e-09,3.789668330693225784e-02
2.000000000000000538e-09,3.789668330694501847e-02
3.000000000000000807e-09,3.789668330695775827e-02
4.000000000000001076e-09,3.789668330697051196e-02
5.000000000000001759e-09,3.789668330698327259e-02
6.000000000000001614e-09,3.789668330699602627e-02
7.000000000000001470e-09,3.789668330700877302e-02
8.000000000000002153e-09,3.789668330702153365e-02
9.000000000000002835e-09,3.789668330703428040e-02
1.000000000000000352e-08,3.789668330704704102e-02
1.100000000000000255e-08,3.789668330705979471e-02
1.200000000000000323e-08,3.789668330707254146e-02
1.300000000000000391e-08,3.789668330708529514e-02
1.400000000000000294e-08,3.789668330709804883e-02
1.500000000000000528e-08,3.789668330711080252e-02
1.600000000000000431e-08,3.789668330712355621e-02
1.700000000000000333e-08,3.789668330713630989e-02
1.800000000000000567e-08,3.789668330714907052e-02
1.900000000000000470e-08,3.789668330716181727e-02
2.000000000000000704e-08,3.789668330717457095e-02
2.100000000000000606e-08,3.789668330718733158e-02
2.200000000000000509e-08,3.789668330720007833e-02
2.300000000000000743e-08,3.789668330721283201e-02
2.400000000000000646e-08,3.789668330722559264e-02
2.500000000000000549e-08,3.789668330723833939e-02
2.600000000000000782e-08,3.789668330725109308e-02
2.700000000000000685e-08,3.789668330726384676e-02
2.800000000000000588e-08,3.789668330727660045e-02
2.900000000000000822e-08,3.789668330728935414e-02
3.000000000000001055e-08,3.789668330730210782e-02
3.100000000000000627e-08,3.789668330731485457e-02
3.200000000000000861e-08,3.789668330732761520e-02
3.300000000000001095e-08,3.789668330734036888e-02
3.400000000000000667e-08,3.789668330735312951e-02
3.500000000000000900e-08,3.789668330736586932e-02
3.600000000000001134e-08,3.789668330737862301e-02
3.700000000000000706e-08,3.789668330739138363e-02
3.800000000000000940e-08,3.789668330740413732e-02
3.900000000000001173e-08,3.789668330741688407e-02
4.000000000000001407e-08,3.789668330742964469e-02
4.100000000000000979e-08,3.789668330744239144e-02
