z[nm],potential[V]
-1.960000000000000081e-07,1.277798419328867729e-01
-1.952179999999999948e-07,1.277798419464983015e-01
-1.944360000000000081e-07,1.277798419601098856e-01
-1.936539999999999949e-07,1.277798419737214419e-01
-1.928720000000000081e-07,1.277798419873329983e-01
-1.920899999999999949e-07,1.277798420009445268e-01
-1.913080000000000081e-07,1.277798420145561109e-01
-1.905259999999999949e-07,1.277798420281676672e-01
-1.897440000000000082e-07,1.277798420417792236e-01
-1.889619999999999949e-07,1.277798420553908076e-01
-1.881800000000000082e-07,1.277798420690023362e-01
-1.873979999999999950e-07,1.277798420826138925e-01
-1.866160000000000082e-07,1.277798420962254489e-01
-1.858339999999999950e-07,1.277798421098370329e-01
-1.850520000000000082e-07,1.277798421234485893e-01
-1.842699999999999950e-07,1.277798421370601456e-01
-1.834880000000000083e-07,1.277798421506717019e-01
-1.827059999999999950e-07,1.277798421642832583e-01
-1.819240000000000083e-07,1.277798421778947868e-01
-1.811419999999999951e-07,1.277798421915063709e-01
-1.803600000000000083e-07,1.277798422051179272e-01
-1.795779999999999951e-07,1.277798422187294836e-01
-1.787960000000000083e-07,1.277798422323410399e-01
-1.780139999999999951e-07,1.277798422459526240e-01
-1.772320000000000084e-07,1.277798422595641525e-01
-1.764499999999999951e-07,1.277798422731757089e-01
-1.756680000000000084e-07,1.277798422867872929e-01
-1.748859999999999952e-07,1.277798423003988493e-01
-1.741040000000000084e-07,1.277798423140104056e-01
-1.733219999999999952e-07,1.277798423276219619e-01
-1.725400000000000084e-07,1.277798423412335183e-01
-1.717579999999999952e-07,1.277798423548450468e-01
-1.709760000000000085e-07,1.277798423684566309e-01
-1.701939999999999952e-07,1.277798423820681872e-01
-1.694120000000000085e-07,1.277798423956797713e-01
-1.686299999999999953e-07,1.277798424092912999e-01
-1.678480000000000085e-07,1.277798424229028840e-01
-1.670659999999999953e-07,1.277798424365144125e-01
-1.662840000000000085e-07,1.277798424501259689e-01
-1.655019999999999953e-07,1.277798424637375252e-01
-1.647200000000000086e-07,1.277798424773491093e-01
-1.639379999999999953e-07,1.277798424909606656e-01
-1.631560000000000086e-07,1.277798425045722219e-01
-1.623739999999999954e-07,1.277798425181837783e-01
-1.615920000000000086e-07,1.277798425317953346e-01
-1.608099999999999954e-07,1.277798425454068909e-01
-1.600280000000000086e-07,1.277798425590184472e-01
-1.592459999999999954e-07,1.277798425726300036e-01
-1.584640000000000087e-07,1.277798425862415599e-01
-1.576819999999999954e-07,1.277798425998531440e-01
-1.569000000000000087e-07,1.277798426134646725e-01
-1.561179999999999955e-07,1.277798426270762566e-01
-1.553360000000000087e-07,1.277798426406877852e-01
-1.545539999999999955e-07,1.277798426542993693e-01
-1.537720000000000087e-07,1.277798426679109534e-01
-1.529899999999999955e-07,1.277798426815224819e-01
-1.522080000000000087e-07,1.277798426951340383e-01
-1.514259999999999955e-07,1.277798427087455946e-01
-1.506440000000000088e-07,1.277798427223571509e-01
-1.498619999999999955e-07,1.277798427359687072e-01
-1.490800000000000088e-07,1.277798427495802913e-01
-1.482979999999999956e-07,1.277798427631918476e-01
-1.475160000000000088e-07,1.277798427768034040e-01
-1.467339999999999956e-07,1.277798427904149325e-01
-1.459520000000000088e-07,1.277798428040264889e-01
-1.451699999999999956e-07,1.277798428176380452e-01
-1.443880000000000089e-07,1.277798428312496293e-01
-1.436059999999999956e-07,1.277798428448611856e-01
-1.428240000000000089e-07,1.277798428584727697e-01
-1.420419999999999957e-07,1.277798428720842983e-01
-1.412600000000000089e-07,1.277798428856958546e-01
-1.404779999999999957e-07,1.277798428993074109e-01
-1.396960000000000089e-07,1.277798429129189672e-01
-1.389139999999999957e-07,1.277798429265305236e-01
-1.381320000000000090e-07,1.277798429401421076e-01
-1.373499999999999957e-07,1.277798429537536640e-01
-1.365680000000000090e-07,1.277798429673651925e-01
-1.357859999999999958e-07,1.277798429809767766e-01
-1.350039999999999825e-07,1.277798429945883329e-01
-1.342219999999999958e-07,1.277798430081998893e-01
-1.334400000000000090e-07,1.277798430218114456e-01
-1.326579999999999958e-07,1.277798430354230297e-01
-1.318759999999999826e-07,1.277798430490345583e-01
-1.310939999999999958e-07,1.277798430626461146e-01
-1.303120000000000091e-07,1.277798430762576709e-01
-1.295299999999999959e-07,1.277798430898692550e-01
-1.287479999999999826e-07,1.277798431034808113e-01
-1.279659999999999959e-07,1.277798431170923676e-01
-1.271840000000000091e-07,1.277798431307039240e-01
-1.264019999999999959e-07,1.277798431443154525e-01
-1.256199999999999827e-07,1.277798431579270089e-01
-1.248379999999999959e-07,1.277798431715385652e-01
-1.240560000000000092e-07,1.277798431851501493e-01
-1.232739999999999960e-07,1.277798431987617056e-01
-1.224919999999999827e-07,1.277798432123732897e-01
-1.217099999999999960e-07,1.277798432259848183e-01
-1.209280000000000092e-07,1.277798432395963746e-01
-1.201459999999999960e-07,1.277798432532079309e-01
-1.193639999999999828e-07,1.277798432668195150e-01
-1.185819999999999960e-07,1.277798432804310436e-01
-1.177999999999999960e-07,1.277798432940426276e-01
-1.170179999999999961e-07,1.277798433076541840e-01
-1.162359999999999961e-07,1.277798433212657125e-01
-1.154539999999999961e-07,1.277798433348772966e-01
-1.146719999999999961e-07,1.277798433484888529e-01
-1.138899999999999961e-07,1.277798433621004093e-01
-1.131079999999999961e-07,1.277798433757119656e-01
-1.123259999999999961e-07,1.277798433893235219e-01
-1.115439999999999961e-07,1.277798434029350783e-01
-1.107619999999999962e-07,1.277798434165466346e-01
-1.099799999999999962e-07,1.277798434301581909e-01
-1.091979999999999962e-07,1.277798434437697750e-01
-1.084159999999999962e-07,1.277798434573813313e-01
-1.076339999999999962e-07,1.277798434709928876e-01
-1.068519999999999962e-07,1.277798434846044440e-01
-1.060699999999999962e-07,1.277798434982160003e-01
-1.052879999999999962e-07,1.277798435118275289e-01
-1.045059999999999963e-07,1.277798435254391130e-01
-1.037239999999999963e-07,1.277798435390506693e-01
-1.029419999999999963e-07,1.277798435526622256e-01
-1.021599999999999963e-07,1.277798435662738097e-01
-1.013779999999999963e-07,1.277798435798853383e-01
-1.005959999999999963e-07,1.277798435934968946e-01
-9.981399999999999632e-08,1.277798436071084509e-01
-9.903199999999999634e-08,1.277798436207200350e-01
-9.824999999999999635e-08,1.277798436343315913e-01
-9.746799999999999636e-08,1.277798436479431476e-01
-9.668599999999999637e-08,1.277798436615547040e-01
-9.590399999999999638e-08,1.277798436751662603e-01
-9.512199999999999640e-08,1.277798436887777889e-01
-9.433999999999999641e-08,1.277798437023893730e-01
-9.355799999999999642e-08,1.277798437160009293e-01
-9.277599999999999643e-08,1.277798437296125134e-01
-9.199399999999999644e-08,1.277798437432240419e-01
-9.121199999999999646e-08,1.277798437568355983e-01
-9.042999999999999647e-08,1.277798437704471823e-01
-8.964799999999999648e-08,1.277798437840587109e-01
-8.886599999999999649e-08,1.277798437976702950e-01
-8.808399999999999651e-08,1.277798438112818513e-01
-8.730199999999999652e-08,1.277798438248934076e-01
-8.651999999999999653e-08,1.277798438385049640e-01
-8.573799999999999654e-08,1.277798438521165203e-01
-8.495599999999999655e-08,1.277798438657280766e-01
-8.417399999999999657e-08,1.277798438793396330e-01
-8.339199999999999658e-08,1.277798438929511893e-01
-8.260999999999999659e-08,1.277798439065627734e-01
-8.182799999999999660e-08,1.277798439201743019e-01
-8.104599999999999661e-08,1.277798439337858583e-01
-8.026399999999999663e-08,1.277798439473974146e-01
-7.948199999999999664e-08,1.277798439610089987e-01
-7.869999999999999665e-08,1.277798439746205272e-01
-7.791799999999999666e-08,1.277798439882321113e-01
-7.713599999999999667e-08,1.277798440018436676e-01
-7.635399999999999669e-08,1.277798440154552240e-01
-7.557199999999998346e-08,1.277798440290667525e-01
-7.478999999999999671e-08,1.277798440426783366e-01
-7.400799999999998349e-08,1.277798440562898930e-01
-7.322599999999999674e-08,1.277798440699014493e-01
-7.244399999999998351e-08,1.277798440835130334e-01
-7.166199999999999676e-08,1.277798440971245897e-01
-7.087999999999998354e-08,1.277798441107361183e-01
-7.009799999999999678e-08,1.277798441243476746e-01
-6.931599999999998356e-08,1.277798441379592587e-01
-6.853399999999999681e-08,1.277798441515707872e-01
-6.775199999999998358e-08,1.277798441651823713e-01
-6.696999999999999683e-08,1.277798441787939276e-01
-6.618799999999998361e-08,1.277798441924054840e-01
-6.540599999999999686e-08,1.277798442060170125e-01
-6.462399999999998363e-08,1.277798442196285966e-01
-6.384199999999999688e-08,1.277798442332401807e-01
-6.305999999999998366e-08,1.277798442468517093e-01
-6.227799999999999690e-08,1.277798442604632656e-01
-6.149599999999998368e-08,1.277798442740748497e-01
-6.071399999999999693e-08,1.277798442876863783e-01
-5.993199999999998371e-08,1.277798443012979346e-01
-5.914999999999999695e-08,1.277798443149095187e-01
-5.836799999999998373e-08,1.277798443285210750e-01
-5.758599999999999698e-08,1.277798443421326313e-01
-5.680399999999998375e-08,1.277798443557441876e-01
-5.602199999999999700e-08,1.277798443693557440e-01
-5.523999999999998378e-08,1.277798443829672725e-01
-5.445799999999999703e-08,1.277798443965788566e-01
-5.367599999999998380e-08,1.277798444101904130e-01
-5.289399999999999705e-08,1.277798444238019970e-01
-5.211199999999998383e-08,1.277798444374135534e-01
-5.132999999999999707e-08,1.277798444510251097e-01
-5.054799999999998385e-08,1.277798444646366660e-01
-4.976599999999999710e-08,1.277798444782481946e-01
-4.898399999999998388e-08,1.277798444918597509e-01
-4.820199999999999712e-08,1.277798445054713350e-01
