r[m],potential[V]
0.000000000000000000e+00,1.015656570376274048e-01
1.000000000000000269e-09,1.012869604744139895e-01
2.000000000000000538e-09,1.010082639112005881e-01
3.000000000000001221e-09,1.007127558125697903e-01
4.000000000000001076e-09,1.004107910203051596e-01
5.000000000000000932e-09,9.999343059936970091e-02
6.000000000000002442e-09,9.951635654931580144e-02
7.000000000000002297e-09,9.899014390234760208e-02
8.000000000000002153e-09,9.840208976118179629e-02
9.000000000000002835e-09,9.777829879033703153e-02
1.000000000000000186e-08,9.707785914270357364e-02
1.100000000000000255e-08,9.637741949507011574e-02
1.200000000000000488e-08,9.557552595792138950e-02
1.300000000000000391e-08,9.477232594943482691e-02
1.400000000000000459e-08,9.391362874383328563e-02
1.500000000000000528e-08,9.304775820363600514e-02
1.600000000000000431e-08,9.213769967723137166e-02
1.700000000000000333e-08,9.120345614720531957e-02
1.800000000000000567e-08,9.026188002541081501e-02
1.900000000000000470e-08,8.931553247669252182e-02
2.000000000000000373e-08,8.837333930486293565e-02
2.100000000000000606e-08,8.743964564039252707e-02
2.200000000000000509e-08,8.650287016437641086e-02
2.300000000000000412e-08,8.555972475114820286e-02
2.400000000000000977e-08,8.462186581018850406e-02
2.500000000000000879e-08,8.369729215971324909e-02
2.600000000000000782e-08,8.277460013375841086e-02
2.700000000000001016e-08,8.189065188655013372e-02
2.800000000000000919e-08,8.100670363934184270e-02
2.900000000000000822e-08,8.016777339480074538e-02
3.000000000000001055e-08,7.933153173916106249e-02
3.100000000000000627e-08,7.850474157029242728e-02
3.200000000000000861e-08,7.768082940512745227e-02
3.300000000000001095e-08,7.688210236214881865e-02
3.400000000000000667e-08,7.610223478263368480e-02
3.500000000000000900e-08,7.534907169512451708e-02
3.600000000000001134e-08,7.462949394750076348e-02
3.700000000000000706e-08,7.391661640353157370e-02
3.800000000000000940e-08,7.322886454834705294e-02
3.900000000000001173e-08,7.254870496512591527e-02
4.000000000000000745e-08,7.190747597495451837e-02
4.100000000000000979e-08,7.126624698478313535e-02
4.200000000000001213e-08,7.066755548183842328e-02
4.300000000000000785e-08,7.007524720351666903e-02
4.400000000000001019e-08,6.950324658824370838e-02
4.500000000000001252e-08,6.894432726222790575e-02
4.600000000000000824e-08,6.840576951836749298e-02
4.700000000000001058e-08,6.788537649891916714e-02
4.800000000000001953e-08,6.737940110650415815e-02
4.900000000000001525e-08,6.690290080882058121e-02
5.000000000000001759e-08,6.643209295479256260e-02
5.100000000000001993e-08,6.598595182189249952e-02
5.200000000000001565e-08,6.553981068899243645e-02
5.300000000000001798e-08,6.511975731957918290e-02
5.400000000000002032e-08,6.470406390485022863e-02
5.500000000000001604e-08,6.431525179528253811e-02
5.600000000000001838e-08,6.393441287034407061e-02
5.700000000000002071e-08,6.356405965638066424e-02
5.800000000000001643e-08,6.320354985981713192e-02
5.900000000000001877e-08,6.285341949878392453e-02
6.000000000000002111e-08,6.251402745464978983e-02
6.100000000000001683e-08,6.218061003797204639e-02
6.200000000000001255e-08,6.186913509661576965e-02
6.300000000000002150e-08,6.156193400822685541e-02
6.400000000000001722e-08,6.127064140659661123e-02
6.500000000000001294e-08,6.098181830776345375e-02
6.600000000000002189e-08,6.070654375091485977e-02
6.700000000000001761e-08,6.043126919406625885e-02
6.800000000000001333e-08,6.018046125516174349e-02
6.900000000000002229e-08,5.993143783766286675e-02
7.000000000000001801e-08,5.969343503407021495e-02
7.100000000000001373e-08,5.945796440308006442e-02
7.200000000000002268e-08,5.922613223434636948e-02
7.300000000000001840e-08,5.900229917500092458e-02
7.400000000000001412e-08,5.877846611565547275e-02
7.500000000000002308e-08,5.857169867693971799e-02
7.600000000000001880e-08,5.836660825756811305e-02
7.700000000000001452e-08,5.817778507240998348e-02
7.800000000000002347e-08,5.799097131167173236e-02
7.900000000000001919e-08,5.780896705596108576e-02
8.000000000000001491e-08,5.763000470915283918e-02
8.100000000000002386e-08,5.745561573161624136e-02
8.200000000000001958e-08,5.728483170742873498e-02
8.300000000000001530e-08,5.711660555955279384e-02
8.400000000000002426e-08,5.695701534202900207e-02
8.500000000000001998e-08,5.679804590382250828e-02
8.600000000000001570e-08,5.664967426337734480e-02
8.700000000000002465e-08,5.650130262293217437e-02
8.800000000000002037e-08,5.636156871557888859e-02
8.900000000000001609e-08,5.622292972844461501e-02
9.000000000000002504e-08,5.608888779093999799e-02
9.100000000000002076e-08,5.595617593705874693e-02
9.200000000000001648e-08,5.582667638662808240e-02
9.300000000000002544e-08,5.569984257031820180e-02
9.400000000000002116e-08,5.557487863351078666e-02
9.500000000000001688e-08,5.545652058622116409e-02
9.600000000000003907e-08,5.533980577383962318e-02
9.700000000000003479e-08,5.522944460025537572e-02
9.800000000000003051e-08,5.511908342667112132e-02
9.900000000000003946e-08,5.501555648510187552e-02
1.000000000000000352e-07,5.491245901820415720e-02
1.010000000000000309e-07,5.481008517274296721e-02
1.020000000000000399e-07,5.470782476869435335e-02
1.030000000000000356e-07,5.460671913037381392e-02
1.040000000000000313e-07,5.450620537279257660e-02
1.050000000000000402e-07,5.441034644623390232e-02
1.060000000000000360e-07,5.431689743106487417e-02
1.070000000000000317e-07,5.422718465332388577e-02
1.080000000000000406e-07,5.414101649186092019e-02
1.090000000000000364e-07,5.405701309455471920e-02
1.100000000000000321e-07,5.397655458645344434e-02
1.110000000000000410e-07,5.389602580408572874e-02
1.120000000000000368e-07,5.381515908402205450e-02
1.130000000000000325e-07,5.373460327524186286e-02
1.140000000000000414e-07,5.365686442747920337e-02
1.150000000000000371e-07,5.357955463164304488e-02
1.160000000000000329e-07,5.350623221094622656e-02
1.170000000000000418e-07,5.343290979024942211e-02
1.180000000000000375e-07,5.336483847111207074e-02
1.190000000000000333e-07,5.329791332758503780e-02
1.200000000000000422e-07,5.323326073536679970e-02
1.210000000000000379e-07,5.317089647331453561e-02
1.220000000000000337e-07,5.310874799599677593e-02
1.230000000000000294e-07,5.304688705101757301e-02
1.240000000000000251e-07,5.298507505400152501e-02
1.250000000000000473e-07,5.292371343970811437e-02
1.260000000000000430e-07,5.286235182541472455e-02
1.270000000000000387e-07,5.280639598639358390e-02
1.280000000000000344e-07,5.275077884326704464e-02
1.290000000000000302e-07,5.269616276055746201e-02
1.300000000000000259e-07,5.264186798847377002e-02
1.310000000000000481e-07,5.258657922123473327e-02
1.320000000000000438e-07,5.253078135388443426e-02
1.330000000000000395e-07,5.247702986026743510e-02
1.340000000000000352e-07,5.242615102485104206e-02
1.350000000000000309e-07,5.237557382588028249e-02
1.360000000000000267e-07,5.232753206694439052e-02
1.370000000000000489e-07,5.227964972795079435e-02
1.380000000000000446e-07,5.223373346510885862e-02
1.390000000000000403e-07,5.218781720226692983e-02
1.400000000000000360e-07,5.214231694429399128e-02
1.410000000000000317e-07,5.209690396674754309e-02
1.420000000000000275e-07,5.205277352485086773e-02
1.430000000000000496e-07,5.200910788106927890e-02
1.440000000000000454e-07,5.196582699185037929e-02
1.450000000000000411e-07,5.192286494713803380e-02
1.460000000000000368e-07,5.188145240863863139e-02
1.470000000000000325e-07,5.184133565258421117e-02
1.480000000000000282e-07,5.180100329165783501e-02
1.490000000000000504e-07,5.176032312525555290e-02
1.500000000000000462e-07,5.171935024064101827e-02
1.510000000000000419e-07,5.167756483414418650e-02
1.520000000000000376e-07,5.163609632636186053e-02
1.530000000000000333e-07,5.160191580964744451e-02
1.540000000000000290e-07,5.156773529293302849e-02
1.550000000000000512e-07,5.153330697456163373e-02
1.560000000000000469e-07,5.149887490937050255e-02
1.570000000000000427e-07,5.146199517583519012e-02
1.580000000000000384e-07,5.142387528449259004e-02
1.590000000000000341e-07,5.138836280271966844e-02
1.600000000000000298e-07,5.135432175563165585e-02
1.610000000000000255e-07,5.132296965412556922e-02
1.620000000000000477e-07,5.129593152672772688e-02
1.630000000000000434e-07,5.126812488377514160e-02
1.640000000000000392e-07,5.123850995686893978e-02
1.650000000000000349e-07,5.120889502996273102e-02
1.660000000000000306e-07,5.117840840141047593e-02
1.670000000000000263e-07,5.114789253384101342e-02
1.680000000000000485e-07,5.111733285513927333e-02
1.690000000000000442e-07,5.108676399521567407e-02
1.700000000000000400e-07,5.105776328397441249e-02
1.710000000000000357e-07,5.102969730171199453e-02
1.720000000000000314e-07,5.100239299161148099e-02
1.730000000000000271e-07,5.097571945393776505e-02
1.740000000000000493e-07,5.094901100543956785e-02
1.750000000000000450e-07,5.092221520121107542e-02
1.760000000000000407e-07,5.089541939698258299e-02
1.770000000000000365e-07,5.086951330938776356e-02
1.780000000000000322e-07,5.084361437505376113e-02
1.790000000000000279e-07,5.081835073745689241e-02
1.800000000000000501e-07,5.079312441458554844e-02
1.810000000000000458e-07,5.076793667493412210e-02
1.820000000000000415e-07,5.074276452042066760e-02
1.830000000000000372e-07,5.071883690905026887e-02
1.840000000000000330e-07,5.069572691305954115e-02
1.850000000000000287e-07,5.067329435497792967e-02
1.860000000000000509e-07,5.065175053542105704e-02
1.870000000000000466e-07,5.062981969424840134e-02
1.880000000000000423e-07,5.060737643390682966e-02
1.890000000000000380e-07,5.058568274396135767e-02
1.900000000000000338e-07,5.056621164348260034e-02
1.910000000000000295e-07,5.054617158289845258e-02
1.920000000000000781e-07,5.052292128583511788e-02
1.930000000000000739e-07,5.049967098877178318e-02
1.940000000000000696e-07,5.047667955417537572e-02
1.950000000000000653e-07,5.045371335005381652e-02
1.960000000000000610e-07,5.043158945074228267e-02
1.970000000000000567e-07,5.041110609723850611e-02
1.980000000000000789e-07,5.039081410834364561e-02
1.990000000000000746e-07,5.037205731654106899e-02
2.000000000000000704e-07,5.035330052473849932e-02
2.010000000000000661e-07,5.033632298933771870e-02
2.020000000000000618e-07,5.031934858871278671e-02
2.030000000000000575e-07,5.030206890022074356e-02
2.040000000000000797e-07,5.028472716742507509e-02
