z[m],potential[V]
-2.000000000000000174e-07,0.000000000000000000e+00
-1.995900000000000290e-07,5.418218597262079273e-06
-1.991800000000000140e-07,1.083643719452415855e-05
-1.987700000000000256e-07,1.625465579178622173e-05
-1.983600000000000371e-07,2.167287438904830015e-05
-1.979499999999999958e-07,2.709109298631075466e-05
-1.975400000000000073e-07,3.250931158357283648e-05
-1.971300000000000189e-07,3.792753018083491490e-05
-1.967200000000000039e-07,4.334574877809697978e-05
-1.963100000000000155e-07,4.876396737535907176e-05
-1.959000000000000270e-07,5.418218597262113663e-05
-1.954900000000000121e-07,5.960040456988320828e-05
-1.950800000000000237e-07,6.501862316714529348e-05
-1.946700000000000087e-07,7.043684176440774460e-05
-1.942599999999999938e-07,7.585506036166982981e-05
-1.938500000000000054e-07,8.127327895893188790e-05
-1.934400000000000169e-07,8.669149755619397311e-05
-1.930300000000000020e-07,9.210971615345605831e-05
-1.926200000000000135e-07,9.752793475071812996e-05
-1.922100000000000251e-07,1.029461533479802152e-04
-1.918000000000000102e-07,1.083643719452422733e-04
-1.913899999999999952e-07,1.137825905425047244e-04
-1.909800000000000068e-07,1.192008091397667960e-04
-1.905699999999999919e-07,1.246190277370288948e-04
-1.901600000000000034e-07,1.300372463342909664e-04
-1.897500000000000150e-07,1.358082053032276092e-04
-1.893400000000000265e-07,1.416289986164360505e-04
-1.889300000000000116e-07,1.474497919296445189e-04
-1.885200000000000231e-07,1.532705852428529873e-04
-1.881100000000000347e-07,1.590913785560614828e-04
-1.876999999999999933e-07,1.649121718692703306e-04
-1.872900000000000049e-07,1.707329651824787990e-04
-1.868800000000000164e-07,1.765537584956872403e-04
-1.864700000000000015e-07,1.823745518088957357e-04
-1.860600000000000130e-07,1.881953451221042041e-04
-1.856500000000000246e-07,1.940161384353126454e-04
-1.852400000000000097e-07,1.998369317485211409e-04
-1.848300000000000212e-07,2.056577250617296093e-04
-1.844200000000000328e-07,2.114785183749380505e-04
-1.840099999999999914e-07,2.172993116881468984e-04
-1.836000000000000029e-07,2.231201050013554210e-04
-1.831900000000000145e-07,2.289408983145638623e-04
-1.827799999999999995e-07,2.347616916277723577e-04
-1.823700000000000111e-07,2.405824849409808261e-04
-1.819600000000000226e-07,2.464032782541892403e-04
-1.815500000000000342e-07,2.522240715673977358e-04
-1.811399999999999928e-07,2.580448648806066107e-04
-1.807300000000000043e-07,2.638656581938150520e-04
-1.803200000000000159e-07,2.696864515070235475e-04
-1.799100000000000010e-07,2.761481532156683286e-04
-1.795000000000000125e-07,2.828207404580131883e-04
-1.790900000000000241e-07,2.894933277003580480e-04
-1.786800000000000092e-07,2.961659149427028534e-04
-1.782700000000000207e-07,3.028385021850477131e-04
-1.778600000000000322e-07,3.095110894273925728e-04
-1.774499999999999909e-07,3.161836766697378120e-04
-1.770400000000000024e-07,3.228562639120826174e-04
-1.766300000000000140e-07,3.295288511544274229e-04
-1.762199999999999990e-07,3.362014383967722826e-04
-1.758100000000000106e-07,3.428740256391171423e-04
-1.754000000000000221e-07,3.495466128814619477e-04
-1.749900000000000072e-07,3.562192001238067532e-04
-1.745800000000000188e-07,3.628917873661515587e-04
-1.741700000000000303e-07,3.695643746084964184e-04
-1.737599999999999889e-07,3.762369618508417117e-04
-1.733500000000000005e-07,3.829095490931865714e-04
-1.729400000000000120e-07,3.895821363355313769e-04
-1.725300000000000236e-07,3.962547235778762366e-04
-1.721200000000000086e-07,4.029273108202210420e-04
-1.717100000000000202e-07,4.095998980625658475e-04
-1.713000000000000317e-07,4.162724853049106530e-04
-1.708899999999999904e-07,4.229450725472559463e-04
-1.704800000000000019e-07,4.296176597896008060e-04
-1.700700000000000134e-07,4.371482993677727551e-04
-1.696599999999999985e-07,4.451858365369099069e-04
-1.692500000000000101e-07,4.532233737060472212e-04
-1.688400000000000216e-07,4.612609108751844272e-04
-1.684300000000000067e-07,4.692984480443215790e-04
-1.680200000000000183e-07,4.773359852134587849e-04
-1.676100000000000298e-07,4.853735223825960993e-04
-1.671999999999999884e-07,4.934110595517337931e-04
-1.667900000000000000e-07,5.014485967208709991e-04
-1.663800000000000115e-07,5.094861338900082050e-04
-1.659699999999999966e-07,5.175236710591454110e-04
-1.655600000000000081e-07,5.255612082282826170e-04
-1.651500000000000197e-07,5.335987453974198229e-04
-1.647400000000000312e-07,5.416362825665569205e-04
-1.643300000000000163e-07,5.496738197356942348e-04
-1.639200000000000279e-07,5.577113569048315492e-04
-1.635100000000000129e-07,5.657488940739692973e-04
-1.630999999999999980e-07,5.737864312431063948e-04
-1.626900000000000096e-07,5.818239684122437092e-04
-1.622800000000000211e-07,5.898615055813808067e-04
-1.618700000000000062e-07,5.978990427505180127e-04
-1.614600000000000177e-07,6.059365799196552186e-04
-1.610500000000000293e-07,6.139741170887925330e-04
-1.606399999999999879e-07,6.220116542579302811e-04
-1.602300000000000259e-07,6.310582861910276785e-04
-1.598200000000000110e-07,6.410946491676922966e-04
-1.594099999999999961e-07,6.511310121443563727e-04
-1.590000000000000076e-07,6.611673751210202319e-04
-1.585900000000000192e-07,6.712037380976841995e-04
-1.581800000000000043e-07,6.812401010743481672e-04
-1.577700000000000158e-07,6.912764640510121348e-04
-1.573600000000000274e-07,7.013128270276761025e-04
-1.569499999999999860e-07,7.113491900043408291e-04
-1.565399999999999975e-07,7.213855529810046883e-04
-1.561300000000000091e-07,7.314219159576686559e-04
-1.557200000000000206e-07,7.414582789343326236e-04
-1.553100000000000057e-07,7.514946419109965912e-04
-1.549000000000000172e-07,7.615310048876605589e-04
-1.544900000000000288e-07,7.715673678643245265e-04
-1.540800000000000139e-07,7.816037308409884941e-04
-1.536700000000000254e-07,7.916400938176524618e-04
-1.532600000000000105e-07,8.016764567943171884e-04
-1.528499999999999956e-07,8.117128197709811560e-04
-1.524400000000000071e-07,8.217491827476451237e-04
-1.520300000000000187e-07,8.317855457243089829e-04
-1.516200000000000037e-07,8.418219087009728421e-04
-1.512100000000000153e-07,8.518582716776369182e-04
-1.508000000000000268e-07,8.618946346543008858e-04
-1.503899999999999855e-07,8.729970892071284771e-04
-1.499800000000000235e-07,8.858311910063060507e-04
-1.495700000000000086e-07,8.986652928054852506e-04
-1.491599999999999936e-07,9.114993946046634748e-04
-1.487500000000000052e-07,9.243334964038418073e-04
-1.483400000000000167e-07,9.371675982030201399e-04
-1.479300000000000283e-07,9.500017000021983640e-04
-1.475200000000000134e-07,9.628358018013769134e-04
-1.471100000000000249e-07,9.756699036005550291e-04
-1.467000000000000100e-07,9.885040053997343375e-04
-1.462900000000000215e-07,1.001338107198911911e-03
-1.458800000000000066e-07,1.014172208998091219e-03
-1.454700000000000182e-07,1.027006310797269660e-03
-1.450600000000000032e-07,1.039840412596447885e-03
-1.446500000000000148e-07,1.052674514395626326e-03
-1.442400000000000263e-07,1.065508616194804550e-03
-1.438300000000000114e-07,1.078342717993982774e-03
-1.434200000000000230e-07,1.091176819793161215e-03
-1.430100000000000080e-07,1.104010921592340523e-03
-1.425999999999999931e-07,1.116845023391518747e-03
-1.421900000000000047e-07,1.129679125190697188e-03
-1.417800000000000162e-07,1.142513226989875412e-03
-1.413700000000000013e-07,1.155347328789053853e-03
-1.409600000000000128e-07,1.168181430588232077e-03
-1.405500000000000244e-07,1.182002464912774000e-03
-1.401399999999999830e-07,1.198672805572330649e-03
-1.397300000000000210e-07,1.215343146231884696e-03
-1.393200000000000061e-07,1.232013486891441129e-03
-1.389100000000000177e-07,1.248683827550996260e-03
-1.385000000000000027e-07,1.265354168210551392e-03
-1.380900000000000143e-07,1.282024508870106740e-03
-1.376800000000000258e-07,1.298694849529661872e-03
-1.372700000000000109e-07,1.315365190189217220e-03
-1.368600000000000225e-07,1.332035530848772568e-03
-1.364500000000000075e-07,1.348705871508328784e-03
-1.360400000000000191e-07,1.365376212167882831e-03
-1.356300000000000042e-07,1.382046552827439481e-03
-1.352200000000000157e-07,1.398716893486994612e-03
-1.348100000000000008e-07,1.415387234146549744e-03
-1.344000000000000123e-07,1.432057574806104875e-03
-1.339900000000000239e-07,1.448727915465660224e-03
-1.335799999999999825e-07,1.465398256125216873e-03
-1.331700000000000205e-07,1.482068596784770704e-03
-1.327600000000000056e-07,1.498738937444327353e-03
-1.323500000000000436e-07,1.515409278103881400e-03
-1.319400000000000022e-07,1.532079618763437616e-03
-1.315300000000000138e-07,1.548749959422992964e-03
-1.311200000000000253e-07,1.565420300082548096e-03
-1.307100000000000104e-07,1.582787728349487923e-03
-1.303000000000000219e-07,1.604680614272868070e-03
-1.298900000000000070e-07,1.626573500196249519e-03
-1.294800000000000186e-07,1.648466386119628148e-03
-1.290700000000000037e-07,1.670359272043009814e-03
-1.286600000000000417e-07,1.692252157966388660e-03
-1.282500000000000003e-07,1.714145043889770325e-03
-1.278400000000000118e-07,1.736037929813150473e-03
-1.274300000000000234e-07,1.757930815736530837e-03
-1.270200000000000085e-07,1.779823701659910985e-03
-1.266100000000000200e-07,1.801716587583291566e-03
-1.262000000000000051e-07,1.823609473506672147e-03
-1.257900000000000166e-07,1.845502359430051861e-03
-1.253800000000000282e-07,1.867395245353432225e-03
-1.249700000000000133e-07,1.889288131276813023e-03
-1.245599999999999983e-07,1.911181017200193387e-03
-1.241500000000000099e-07,1.933073903123573535e-03
-1.237400000000000214e-07,1.954966789046953465e-03
-1.233300000000000065e-07,1.976859674970334480e-03
-1.229200000000000181e-07,1.998752560893714628e-03
-1.225100000000000031e-07,2.020645446817094775e-03
-1.221000000000000147e-07,2.042538332740474923e-03
-1.216899999999999998e-07,2.064431218663855937e-03
-1.212800000000000113e-07,2.086324104587235651e-03
-1.208700000000000229e-07,2.108285773829985874e-03
-1.204600000000000080e-07,2.137278838390514833e-03
-1.200500000000000195e-07,2.166271902951044225e-03
-1.196400000000000046e-07,2.195264967511574919e-03
-1.192300000000000161e-07,2.224258032072104312e-03
-1.188200000000000144e-07,2.253251096632633704e-03
-1.184100000000000128e-07,2.282244161193163097e-03
-1.180000000000000111e-07,2.311237225753693357e-03
-1.175900000000000094e-07,2.340230290314223183e-03
-1.171800000000000077e-07,2.369223354874752142e-03
-1.167700000000000192e-07,2.398216419435281535e-03
-1.163600000000000043e-07,2.427209483995812229e-03
-1.159500000000000159e-07,2.456202548556341621e-03
-1.155400000000000142e-07,2.485195613116870580e-03
