z[nm],potential[V]
-1.960000000000000081e-07,3.699414074007706388e-01
-1.952179999999999948e-07,3.699414075160433746e-01
-1.944360000000000081e-07,3.699414076313161104e-01
-1.936539999999999949e-07,3.699414077465888462e-01
-1.928720000000000081e-07,3.699414078618615820e-01
-1.920899999999999949e-07,3.699414079771343178e-01
-1.913080000000000081e-07,3.699414080924070536e-01
-1.905259999999999949e-07,3.699414082076797894e-01
-1.897440000000000082e-07,3.699414083229525807e-01
-1.889619999999999949e-07,3.699414084382253165e-01
-1.881800000000000082e-07,3.699414085534980523e-01
-1.873979999999999950e-07,3.699414086687707881e-01
-1.866160000000000082e-07,3.699414087840435239e-01
-1.858339999999999950e-07,3.699414088993162597e-01
-1.850520000000000082e-07,3.699414090145889955e-01
-1.842699999999999950e-07,3.699414091298617313e-01
-1.834880000000000083e-07,3.699414092451344671e-01
-1.827059999999999950e-07,3.699414093604072584e-01
-1.819240000000000083e-07,3.699414094756799942e-01
-1.811419999999999951e-07,3.699414095909527300e-01
-1.803600000000000083e-07,3.699414097062254658e-01
-1.795779999999999951e-07,3.699414098214982016e-01
-1.787960000000000083e-07,3.699414099367709374e-01
-1.780139999999999951e-07,3.699414100520436732e-01
-1.772320000000000084e-07,3.699414101673164645e-01
-1.764499999999999951e-07,3.699414102825892003e-01
-1.756680000000000084e-07,3.699414103978619361e-01
-1.748859999999999952e-07,3.699414105131346719e-01
-1.741040000000000084e-07,3.699414106284074633e-01
-1.733219999999999952e-07,3.699414107436801991e-01
-1.725400000000000084e-07,3.699414108589529349e-01
-1.717579999999999952e-07,3.699414109742256151e-01
-1.709760000000000085e-07,3.699414110894984065e-01
-1.701939999999999952e-07,3.699414112047711423e-01
-1.694120000000000085e-07,3.699414113200439336e-01
-1.686299999999999953e-07,3.699414114353166694e-01
-1.678480000000000085e-07,3.699414115505894052e-01
-1.670659999999999953e-07,3.699414116658621410e-01
-1.662840000000000085e-07,3.699414117811348768e-01
-1.655019999999999953e-07,3.699414118964076126e-01
-1.647200000000000086e-07,3.699414120116803484e-01
-1.639379999999999953e-07,3.699414121269530842e-01
-1.631560000000000086e-07,3.699414122422258200e-01
-1.623739999999999954e-07,3.699414123574986113e-01
-1.615920000000000086e-07,3.699414124727713471e-01
-1.608099999999999954e-07,3.699414125880440829e-01
-1.600280000000000086e-07,3.699414127033168187e-01
-1.592459999999999954e-07,3.699414128185895545e-01
-1.584640000000000087e-07,3.699414129338622903e-01
-1.576819999999999954e-07,3.699414130491350261e-01
-1.569000000000000087e-07,3.699414131644077619e-01
-1.561179999999999955e-07,3.699414132796805532e-01
-1.553360000000000087e-07,3.699414133949533445e-01
-1.545539999999999955e-07,3.699414135102260248e-01
-1.537720000000000087e-07,3.699414136254987606e-01
-1.529899999999999955e-07,3.699414137407714964e-01
-1.522080000000000087e-07,3.699414138560442877e-01
-1.514259999999999955e-07,3.699414139713170235e-01
-1.506440000000000088e-07,3.699414140865897038e-01
-1.498619999999999955e-07,3.699414142018624951e-01
-1.490800000000000088e-07,3.699414143171352309e-01
-1.482979999999999956e-07,3.699414144324080223e-01
-1.475160000000000088e-07,3.699414145476807581e-01
-1.467339999999999956e-07,3.699414146629534939e-01
-1.459520000000000088e-07,3.699414147782262297e-01
-1.451699999999999956e-07,3.699414148934989655e-01
-1.443880000000000089e-07,3.699414150087717013e-01
-1.436059999999999956e-07,3.699414151240444371e-01
-1.428240000000000089e-07,3.699414152393171729e-01
-1.420419999999999957e-07,3.699414153545899642e-01
-1.412600000000000089e-07,3.699414154698627000e-01
-1.404779999999999957e-07,3.699414155851354358e-01
-1.396960000000000089e-07,3.699414157004081716e-01
-1.389139999999999957e-07,3.699414158156809074e-01
-1.381320000000000090e-07,3.699414159309536432e-01
-1.373499999999999957e-07,3.699414160462263790e-01
-1.365680000000000090e-07,3.699414161614991148e-01
-1.357859999999999958e-07,3.699414162767719061e-01
-1.350039999999999825e-07,3.699414163920446419e-01
-1.342219999999999958e-07,3.699414165073173777e-01
-1.334400000000000090e-07,3.699414166225901135e-01
-1.326579999999999958e-07,3.699414167378628493e-01
-1.318759999999999826e-07,3.699414168531355851e-01
-1.310939999999999958e-07,3.699414169684083209e-01
-1.303120000000000091e-07,3.699414170836811122e-01
-1.295299999999999959e-07,3.699414171989538480e-01
-1.287479999999999826e-07,3.699414173142265838e-01
-1.279659999999999959e-07,3.699414174294993751e-01
-1.271840000000000091e-07,3.699414175447721664e-01
-1.264019999999999959e-07,3.699414176600449022e-01
-1.256199999999999827e-07,3.699414177753175825e-01
-1.248379999999999959e-07,3.699414178905903183e-01
-1.240560000000000092e-07,3.699414180058631096e-01
