r[nm],potential[V]
0.000000000000000000e+00,3.699414361452528777e-01
1.000000000000000269e-09,3.699414361428854936e-01
2.000000000000000538e-09,3.699414361405182206e-01
3.000000000000000807e-09,3.699414361381506700e-01
4.000000000000001076e-09,3.699414361357833969e-01
5.000000000000001759e-09,3.699414361334160684e-01
6.000000000000001614e-09,3.699414361310486288e-01
7.000000000000001470e-09,3.699414361286811892e-01
8.000000000000002153e-09,3.699414361263138606e-01
9.000000000000002835e-09,3.699414361239464766e-01
1.000000000000000352e-08,3.699414361215790370e-01
1.100000000000000255e-08,3.699414361192117640e-01
1.200000000000000323e-08,3.699414361168443244e-01
1.300000000000000391e-08,3.699414361144768848e-01
1.400000000000000294e-08,3.699414361121095562e-01
1.500000000000000528e-08,3.699414361097421167e-01
1.600000000000000431e-08,3.699414361073747326e-01
1.700000000000000333e-08,3.699414361050074040e-01
1.800000000000000567e-08,3.699414361026400755e-01
1.900000000000000470e-08,3.699414361002725804e-01
2.000000000000000704e-08,3.699414360979052518e-01
2.100000000000000606e-08,3.699414360955379233e-01
2.200000000000000509e-08,3.699414360931704837e-01
2.300000000000000743e-08,3.699414360908030996e-01
2.400000000000000646e-08,3.699414360884357711e-01
2.500000000000000549e-08,3.699414360860683315e-01
2.600000000000000782e-08,3.699414360837009474e-01
2.700000000000000685e-08,3.699414360813335634e-01
2.800000000000000588e-08,3.699414360789661793e-01
2.900000000000000822e-08,3.699414360765987397e-01
3.000000000000001055e-08,3.699414360742314112e-01
3.100000000000000627e-08,3.699414360718640271e-01
3.200000000000000861e-08,3.699414360694965875e-01
3.300000000000001095e-08,3.699414360671293145e-01
3.400000000000000667e-08,3.699414360647619304e-01
3.500000000000000900e-08,3.699414360623944908e-01
3.600000000000001134e-08,3.699414360600271068e-01
3.700000000000000706e-08,3.699414360576597782e-01
3.800000000000000940e-08,3.699414360552923942e-01
3.900000000000001173e-08,3.699414360529249546e-01
4.000000000000001407e-08,3.699414360505576815e-01
4.100000000000000979e-08,3.699414360481902420e-01
4.200000000000001213e-08,3.699414360458228024e-01
4.300000000000001447e-08,3.699414360434554738e-01
4.400000000000001019e-08,3.699414360410880342e-01
4.500000000000001252e-08,3.699414360387205947e-01
4.600000000000001486e-08,3.699414360363533216e-01
4.700000000000001058e-08,3.699414360339859376e-01
4.800000000000001292e-08,3.699414360316184980e-01
4.900000000000001525e-08,3.699414360292511139e-01
5.000000000000001097e-08,3.699414360268837854e-01
5.100000000000001331e-08,3.699414360245164013e-01
5.200000000000001565e-08,3.699414360221489617e-01
5.300000000000001137e-08,3.699414360197816887e-01
5.400000000000001370e-08,3.699414360174142491e-01
5.500000000000001604e-08,3.699414360150468095e-01
5.600000000000001176e-08,3.699414360126794810e-01
5.700000000000001410e-08,3.699414360103120414e-01
5.800000000000001643e-08,3.699414360079446573e-01
5.900000000000001877e-08,3.699414360055773288e-01
6.000000000000002111e-08,3.699414360032099447e-01
6.100000000000001683e-08,3.699414360008425051e-01
6.200000000000001255e-08,3.699414359984751766e-01
6.300000000000002150e-08,3.699414359961078480e-01
6.400000000000001722e-08,3.699414359937403529e-01
6.500000000000001294e-08,3.699414359913730244e-01
6.600000000000002189e-08,3.699414359890056958e-01
6.700000000000001761e-08,3.699414359866382562e-01
6.800000000000001333e-08,3.699414359842708722e-01
6.900000000000002229e-08,3.699414359819035436e-01
7.000000000000001801e-08,3.699414359795361040e-01
7.100000000000001373e-08,3.699414359771686645e-01
7.200000000000002268e-08,3.699414359748013914e-01
7.300000000000001840e-08,3.699414359724339518e-01
7.400000000000001412e-08,3.699414359700665123e-01
7.500000000000002308e-08,3.699414359676992392e-01
7.600000000000001880e-08,3.699414359653317996e-01
7.700000000000001452e-08,3.699414359629644156e-01
7.800000000000002347e-08,3.699414359605970315e-01
7.900000000000001919e-08,3.699414359582297029e-01
8.000000000000002814e-08,3.699414359558622079e-01
8.100000000000002386e-08,3.699414359534948793e-01
8.200000000000001958e-08,3.699414359511276063e-01
8.300000000000002854e-08,3.699414359487601667e-01
8.400000000000002426e-08,3.699414359463927271e-01
8.500000000000001998e-08,3.699414359440253985e-01
8.600000000000002893e-08,3.699414359416579590e-01
8.700000000000002465e-08,3.699414359392905194e-01
8.800000000000002037e-08,3.699414359369232463e-01
8.900000000000002932e-08,3.699414359345558623e-01
9.000000000000002504e-08,3.699414359321884227e-01
9.100000000000002076e-08,3.699414359298210941e-01
9.200000000000002972e-08,3.699414359274536546e-01
9.300000000000002544e-08,3.699414359250862150e-01
9.400000000000002116e-08,3.699414359227188864e-01
9.500000000000003011e-08,3.699414359203516134e-01
9.600000000000002583e-08,3.699414359179841183e-01
9.700000000000002155e-08,3.699414359156167897e-01
9.800000000000003051e-08,3.699414359132494057e-01
9.900000000000002623e-08,3.699414359108819661e-01
1.000000000000000219e-07,3.699414359085145820e-01
1.010000000000000309e-07,3.699414359061472535e-01
1.020000000000000266e-07,3.699414359037798694e-01
1.030000000000000223e-07,3.699414359014124298e-01
1.040000000000000313e-07,3.699414358990451013e-01
1.050000000000000270e-07,3.699414358966777172e-01
1.060000000000000227e-07,3.699414358943102776e-01
1.070000000000000317e-07,3.699414358919429491e-01
